                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6539,                 1.5506,                 1.4831,                0.57336,                0.54716,                0.57645,                0.28558,                 1.7562,                 1.3129,                 1.3935,             0.00057241,             0.00057241,             0.00057241
                     36,                 1.6223,                 1.4987,                 1.4515,                0.54775,                 0.5441,                 0.5927,                 0.3088,                 1.7459,                 1.2891,                 1.3703,             0.00057086,             0.00057086,             0.00057086
                     37,                 1.5968,                  1.457,                 1.4328,                0.76654,                0.57491,                0.65763,                0.32966,                  1.702,                 1.2613,                 1.3472,             0.00056931,             0.00056931,             0.00056931
                     38,                 1.5918,                  1.466,                  1.416,                0.67849,                0.54853,                0.60979,                0.28951,                  1.789,                 1.3446,                  1.353,             0.00056777,             0.00056777,             0.00056777
                     39,                 1.5708,                 1.4184,                 1.4056,                0.61832,                0.59254,                0.62251,                0.30232,                 1.7216,                 1.2412,                 1.3611,             0.00056622,             0.00056622,             0.00056622
                     40,                 1.5846,                 1.4269,                 1.4166,                0.56363,                0.50169,                0.53639,                0.27077,                 1.7649,                  1.455,                 1.3975,             0.00056467,             0.00056467,             0.00056467
                     41,                 1.5702,                 1.4027,                 1.3817,                 0.6536,                  0.615,                0.64324,                0.33007,                 1.6178,                 1.2681,                 1.2878,             0.00056313,             0.00056313,             0.00056313
                     42,                 1.5111,                 1.3357,                 1.3628,                0.57059,                0.60632,                0.61357,                0.32116,                  1.667,                 1.2364,                 1.3541,             0.00056158,             0.00056158,             0.00056158
                     43,                 1.5236,                 1.3573,                 1.3589,                0.61201,                 0.6222,                0.65102,                0.32845,                 1.5841,                 1.2405,                 1.2815,             0.00056003,             0.00056003,             0.00056003
                     44,                 1.5358,                 1.3337,                 1.3529,                0.63928,                0.67069,                0.66554,                0.34734,                 1.6016,                 1.1794,                 1.3086,             0.00055848,             0.00055848,             0.00055848
                     45,                 1.4947,                  1.305,                 1.3365,                0.56779,                0.62663,                0.67331,                0.34407,                 1.5918,                 1.3521,                 1.2975,             0.00055694,             0.00055694,             0.00055694
                     46,                 1.5176,                  1.344,                 1.3335,                0.65547,                0.60847,                0.66657,                0.33086,                 1.6578,                 1.2689,                 1.2969,             0.00055539,             0.00055539,             0.00055539
                     47,                 1.4997,                 1.3247,                 1.3337,                0.68533,                0.54992,                 0.5654,                0.28065,                 1.7576,                  1.335,                 1.3786,             0.00055384,             0.00055384,             0.00055384
                     48,                 1.4891,                 1.2817,                  1.313,                0.66842,                0.65589,                0.69133,                0.35202,                 1.6174,                 1.1565,                 1.2882,              0.0005523,              0.0005523,              0.0005523
                     49,                 1.4414,                 1.2247,                 1.2942,                0.73923,                0.60985,                0.67327,                0.35559,                 1.6641,                 1.1457,                 1.3266,             0.00055075,             0.00055075,             0.00055075
                     50,                 1.4764,                 1.2888,                 1.3118,                0.68392,                0.64884,                0.68925,                0.36652,                 1.6043,                 1.2459,                 1.2943,              0.0005492,              0.0005492,              0.0005492
                     51,                 1.4301,                 1.2303,                 1.2771,                0.73153,                0.67817,                0.71757,                 0.3804,                 1.5993,                 1.1112,                 1.2488,             0.00054766,             0.00054766,             0.00054766
                     52,                 1.4102,                 1.2252,                 1.2744,                0.73973,                0.68959,                0.72838,                0.37657,                 1.5515,                 1.1764,                 1.2525,             0.00054611,             0.00054611,             0.00054611
                     53,                 1.4728,                 1.2577,                 1.2913,                0.76706,                0.65239,                0.75172,                0.38185,                 1.5402,                 1.1428,                 1.2096,             0.00054456,             0.00054456,             0.00054456
                     54,                 1.3969,                 1.1764,                 1.2626,                0.67041,                 0.6853,                0.69291,                0.36424,                 1.5692,                 1.1393,                 1.2566,             0.00054302,             0.00054302,             0.00054302
                     55,                 1.4353,                 1.1894,                 1.2807,                 0.8127,                0.71706,                0.73154,                0.39603,                 1.5366,                 1.0585,                 1.2394,             0.00054147,             0.00054147,             0.00054147
                     56,                 1.3858,                 1.1464,                 1.2478,                0.68151,                0.64844,                0.69188,                0.38645,                 1.5004,                  1.104,                 1.2352,             0.00053992,             0.00053992,             0.00053992
                     57,                 1.4042,                 1.1306,                 1.2545,                0.72379,                0.72725,                0.73013,                  0.385,                 1.6086,                 1.0738,                 1.2601,             0.00053838,             0.00053838,             0.00053838
                     58,                 1.3826,                 1.1086,                 1.2341,                0.70884,                0.70907,                0.74171,                0.40894,                    1.5,                 1.0554,                 1.2001,             0.00053683,             0.00053683,             0.00053683
                     59,                 1.3733,                 1.1587,                 1.2438,                0.69551,                0.71989,                0.73956,                0.37758,                 1.5203,                  1.045,                 1.2087,             0.00053528,             0.00053528,             0.00053528
                     60,                 1.4106,                 1.1857,                 1.2539,                0.70976,                0.71529,                0.74576,                0.40946,                 1.4829,                 1.0682,                 1.1986,             0.00053373,             0.00053373,             0.00053373
                     61,                 1.3497,                 1.1404,                 1.2246,                0.66357,                0.65404,                0.69524,                0.36918,                 1.5275,                 1.1734,                  1.201,             0.00053219,             0.00053219,             0.00053219
